species,rule,country_code,admin1_region_code
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,AIA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ALA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ALB,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,AND,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ARE,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ARG,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ARM,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ASM,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ATA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ATF,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ATG,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,AUS,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,AUT,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,AZE,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BEL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BES,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BGD,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BGR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BHR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BHS,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BIH,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BLM,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BLR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BLZ,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BMU,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BOL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BRA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BRB,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BRN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BTN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,BVT,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CAN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CCK,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CHE,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CHL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CHN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,COK,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,COM,
